"id","fecha","temperatura_abrigo_150cm","temperatura_abrigo_150cm_maxima","temperatura_abrigo_150cm_minima","temperatura_intemperie_5cm_minima","temperatura_intemperie_50cm_minima","temperatura_suelo_5cm_media","temperatura_suelo_10cm_media","temperatura_inte_5cm","temperatura_intemperie_150cm_minima","humedad_suelo","precipitacion_pluviometrica","granizo","nieve","heliofania_efectiva","heliofania_relativa","tesion_vapor_media","humedad_media","humedad_media_8_14_20","rocio_medio","duracion_follaje_mojado","velocidad_viento_200cm_media","direccion_viento_200cm","velocidad_viento_1000cm_media","direccion_viento_1000cm","velocidad_viento_maxima","presion_media","radiacion_global","radiacion_neta","evaporacion_tanque","evapotranspiracion_potencial","profundidad_napa","horas_frio","unidad_frio"
"NH0472","1961-07-01",11.1,13.4,8.8,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,9.8,NA,81,6.7,NA,14.4,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"NH0472","1961-07-02",5.5,10.5,0.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,7.9,NA,80,3.6,NA,4.8,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA
"NH0472","1961-07-03",6,10.8,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,7.5,NA,62,2.9,NA,7.2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA
"NH0472","1961-07-04",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,14.9,NA,93,12.9,NA,8.8,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NH0472","1961-07-05",12.4,14.8,10,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,17.2,NA,92,15.1,NA,4.8,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"NH0472","1961-07-06",11,16.5,5.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,11.5,NA,80,9,NA,14.4,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,3.272727,NA
"NH0472","1961-07-07",7,10,4,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,8.1,NA,85,3.9,NA,8.8,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
"NH0472","1961-07-08",5.6,10,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,7.2,NA,70,2.3,NA,12,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,15.81818,NA
"NH0472","1961-07-09",NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,7.1,NA,71,2.1,NA,7.2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NH0472","1961-07-10",8.4,12.1,4.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,9.1,NA,80,5.6,NA,8.8,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,7.459459,NA
"NH0472","1961-07-11",9.25,13.5,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,10.3,NA,76,7.4,NA,5.6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,5.647059,NA
"NH0472","1961-07-12",12,15,9,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,12.9,NA,89,10.7,NA,5.6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"NH0472","1961-07-13",NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,10.2,NA,86,7.3,NA,7.2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NH0472","1961-07-14",9,16,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,9,NA,79,5.4,NA,7.2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,8.571428,NA
"NH0472","1961-07-15",13,20,6,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,11,NA,75,8.4,NA,5.6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1.714286,NA
